abbreviation,meaning
ă,á
â,á
ế,á
í,á
àh,à
ak,à
àk,à
òh,à
uh,à
ạh,ạ
nạ,ạ
ợ,ạ
adidaphat,a di đà phật
adu,á đù
anlonroi,ăn lồn rồi
asxh,an sinh xã hội
a,anh
ank,anh
bro,anh
broh,anh
ãnh,ảnh
ac,anh chị
avt,ảnh đại diện
ae,anh em
anhem,anh em
ahbp,anh hùng bàn phím
av,anh văn
atsm,ảo tưởng sức mạnh
ars,arsenal
be,ba
pa,ba
bã,bà ấy
bả,bà ấy
aba,ba rọi béo
abe,ba rọi béo
bagà,ba rọi béo
baroibeo,ba rọi béo
boác,bác
silver,bạc
backinh,bắc kinh
bake,bắc kỳ
pake,bắc kỳ
bạck,bạch
bổn,bản
b,bạn
bạng,bạn
fen,bạn
lỉ,bạn
pạn,bạn
bgk,ban giám khảo
bằg,bằng
bvs,băng vệ sinh
báh,bánh
pảnh,bảnh
pảnk,bảnh
bĩu,bảo
report,báo cáo
rp,báo cáo
bcs,bao cao su
bjo,bao giờ
bhxh,bảo hiểm xã hội
bnhieu,bao nhiêu
bnhiu,bao nhiêu
bve,bảo vệ
bat,bắt
pắt,bắt
bđ,bắt đầu
bđs,bất động sản
bg,bây giờ
bgio,bây giờ
bh,bây giờ
pé,bé
bede,bê đê
beđe,bê đê
bêđê,bê đê
beh,bệnh
bj,bị
biếc,biết
bik,biết
bík,biết
bit,biết
bít,biết
bjt,biết
bk,biết
pik,biết
pít,biết
pt,biết
logo,biểu tượng
bdân,bình dân
cmt,bình luận
blv,bình luận viên
bth,bình thường
bthg,bình thường
pò,bò
pô,bô
pố,bố
bõ,bỏ
bdg,bộ giáo dục
bgdđt,bộ giáo dục đào tạo
bame,bố mẹ
bme,bố mẹ
bome,bố mẹ
bm,bỏ mẹ
botay,bó tay
bmay,bọn mày
bno,bọn nó
póng,bóng
pro,bro
bucu,bú cặc
buk,bực
qạo,bực tức
quạu,bực tức
wuạo,bực tức
xù,bùng
bưg,bưng
bụg,bụng
bùi,buồi
puồi,buồi
bũi,buổi
buốn,buồn
puồn,buồn
bcuoi,buồn cười
pút,bút
cakhia,cà khịa
cf,cà phê
cfe,cà phê
cak,cặc
cặt,cặc
cật,cặc
cec,cặc
cẹc,cặc
cẹt,cặc
kặc,cặc
kẹc,cặc
cacban,các bạn
cmang,cách mạng
caj,cái
kai,cái
kéi,cái
cdb,cái đầu buồi
cđb,cái đầu buồi
cdg,cái đéo gì
wtf,cái đéo gì thế
caiditmemay,cái địt mẹ mày
cgi,cái gì
cailon,cái lồn
cailoz,cái lồn
cl,cái lồn
cailoncat,cái lồn cát
cailoncatkhong,cái lồn cát không
cailozcatkhong,cái lồn cát không
clg,cái lồn gì
clj,cái lồn gì
clgt,cái lồn gì thế
clgv,cái lồn gì vậy
cljv,cái lồn gì vậy
clm,cái lồn mẹ
clmn,cái lồn mẹ nó
cmg,cái mẹ gì
cbcs,cán bộ cảnh sát
càg,càng
csbv,cảnh sát bảo vệ
cscđ,cảnh sát cơ động
csgt,cảnh sát giao thông
kout,cao
level,cấp
lv,cấp
cạu,cậu
clb,câu lạc bộ
chs,chả hiểu sao
Chăk,chắc
choán,chán
hi,chào
hj,chào
acp,chấp nhận
ckat,chất
trất,chất
truất,chất
chít,chết
chớt,chết
cht,chết
chetme,chết mẹ
cm,chết mẹ
cmnr,chết mẹ nó rồi
chj,chị
chuỵ,chị
chụy,chị
cị,chị
cj,chị
sister,chị
xị,chị
ce,chị em
cy,chị yêu
ctay,chia tay
chym,chim
trym,chim
cko,cho
choá,chó
chổ,chỗ
trol,chơi khăm
ck,chồng
chũ,chủ
chớ,chứ
thớt,chủ đề
thread,chủ đề
cnsc,chủ nghĩa cộng sản
cnxh,chủ nghĩa xã hội
ch,chưa
cbi,chuẩn bị
cmnm,chúc mừng năm mới
cmsn,chúc mừng sinh nhật
chữi,chửi
dis,chửi
đjs,chửi
chug,chung
chũng,chủng
chừg,chừng
chừn,chừng
cktg,chung kết thế giới
cmay,chúng mày
cmnd,chứng minh nhân dân
cno,chúng nó
cnó,chúng nó
ctrinh,chương trình
chiện,chuyện
chx,chuyện
chz,chuyện
fans,chuyển giới
líp,clip
coa,có
fa,cô đơn mãi mãi
codonqua,cô đơn quá
kọc,cọc
koi,coi
kon,con
concac,con cặc
concard,con cặc
cđ,con đĩ
condi,con đĩ
cđl,con đĩ lồn
condime,con đĩ mẹ
cgai,con gái
cmnđ,con mẹ nó đi
ctrai,con trai
côg,công
plus,cộng
can,công an
lgbt,cộng đồng giới tính thứ ba
cdm,cộng đồng mạng
chxhcnvn,cộng hoà xã hội chủ nghĩa việt nam
csvn,cộng sản việt nam
cty,công ty
coronaviruswuhan,corona vi rút vũ hán
covi,covid
covis,covid
cuvid,covid
ciu,cu
ku,cu
ex,cũ
cktp,cực kỳ thuyết phục
cg,cũng
cug,cũng
cũg,cũng
củng,cũng
cx,cũng
kug,cũng
cưg,cưng
kưg,cưng
kưng,cưng
cừ,cười
cừi,cười
cuoi,cười
smile,cười
lmao,cười tụt cả mông
ks,cướp mạng
kut,cút
cức,cứt
shit,cứt
siệt,cứt
cíu,cứu
dza,dạ
dzạ,dạ
đl,đà lạt
đn,đà nẵng
đnăng,đà nẵng
zái,dái
giãi,dãi
dái,đái
đbqh,đại biểu quốc hội
đạika,đại ca
đh,đại học
đhcn,đại học công nghệ
cọp,dần
ngưu,dần
đag,đang
dg,đang
đảg,đảng
đoảng,đảng
đcs,đảng cộng sản
đky,đăng ký
sub,đăng ký
subrai,đăng ký
subscribe,đăng ký
quính,đánh
review,đánh giá
rv,đánh giá
bủm,đánh rắm
ord,đặt hàng
order,đặt hàng
đou,đâu
đôu,đâu
db,đầu buồi
đb,đầu buồi
đei,đây
đêi,đây
đếy,đấy
dể,dễ
easy,dễ
ez,dễ
zễ,dễ
đẽ,đẻ
deso,dễ sợ
ds,dễ sợ
cute,dễ thương
cutoe,dễ thương
dethuong,dễ thương
dth,dễ thương
dthuong,dễ thương
dthw,dễ thương
kewt,dễ thương
kute,dễ thương
đách,đếch
đachlone,đếch lồn
đ,đéo
đếch,đéo
dek,đéo
đek,đéo
đel,đéo
deo,đéo
dew,đéo
đoé,đéo
ếu,đéo
méo,đéo
deodcroi,đéo được rồi
dhs,đéo hiểu sao
txuc,tiếp xúc
cta,chúng ta
bhyt,bảo hiểm y tế
đhs,đéo hiểu sao
đlq,đéo liên quan
đtrai,đẹp trai
đz,đẹp trai
đzai,đẹp trai
đê,đi
dj,đi
đy,đi
đỉ,đĩ
đuỹ,đĩ
đũy,đĩ
đỷ,đĩ
phò,đĩ
dicho,đĩ chó
mobi,di động
mobile,di động
đchi,địa chỉ
đjch,địch
tele,dịch chuyển
teleport,dịch chuyển
cave,điếm
đt,điện thoại
đth,điện thoại
đthoai,điện thoại
dv,diễn viên
zịu,diệu
đìu,điều
dink,đỉnh
chịch,địt
dịt,địt
diz,địt
điz,địt
djt,địt
đjt,địt
đuỵt,địt
dyt,địt
đỵt,địt
lịt,địt
nựng,địt
phang,địt
xoạc,địt
cb,địt con mẹ
cđm,địt con mẹ
dcm,địt con mẹ
đcm,địt con mẹ
đitconme,địt con mẹ
dkm,địt con mẹ
đkm,địt con mẹ
đitconmemay,địt con mẹ mày
dkmn,địt con mẹ nó
djtcu,địt cụ
đệch,địt mẹ
đệt,địt mẹ
ditme,địt mẹ
địtmẹ,địt mẹ
djtme,địt mẹ
đjtme,địt mẹ
dm,địt mẹ
đm,địt mẹ
đme,địt mẹ
phắc,địt mẹ
dmca,địt mẹ công an
dmcsvn,địt mẹ cộng sản việt nam
ditmevualonetaolam,địt mẹ vừa lòng tao lắm
zơ,dơ
giở,dở
đoá,đó
ó,đó
mixi,độ mixi
zối,dối
đvi,đơn vị
đná,đông nam á
rữ,dữ
zữ,dữ
dou,đụ
duconme,đụ con mẹ
dl,du lịch
dlv,dư luận viên
douma,đụ má
đouma,đụ má
đụma,đụ má
dume,đù mẹ
dmie,đụ mẹ
duma,đụ mẹ
dumoe,đụ mẹ
đumoe,đụ mẹ
dmcs,đụ mẹ cộng sản
đmcs,đụ mẹ cộng sản
đúg,đúng
đứg,đứng
đừg,đừng
đr,đúng rồi
yep,đúng rồi
yup,đúng rồi
dc,được
đc,được
dk,được
đk,được
đuok,được
đượt,được
dx,được
đx,được
kê,được
oce,được
ok,được
okay,được
oke,được
oker,được
oki,được
đủi,đuổi
suga,đường
sugar,đường
bot,đường dưới
zuy,duy
dziên,duyên
ziên,duyên
e,em
iem,em
iêm,em
ễm,em ấy
ẽm,em ấy
baby,em bé
bae,em bé
face,facebook
fb,facebook
fbút,facebook
fancung,fan cứng
page,fanpage
goà,gà
ge,ghê
gê,ghê
gke,ghê
gkê,ghê
gato,ghen ăn tức ở
giề,gì
j,gì
ji,gì
rì,gì
zì,gì
jz,gì vậy
fake,giả
gja,giả
phake,giả
gd,gia đình
gđ,gia đình
gdinh,gia đình
gđình,gia đình
gtri,giá trị
giặt,giặc
zải,giải
msi,giải đấu giao hữu quốc tế giữa mùa
vcsa,giải vô địch liên minh huyền thoại a
vcsb,giải vô địch liên minh huyền thoại b
giảg,giảng
giàh,giành
ghpg,giáo hội phật giáo
dực,giật
dựt,giật
giựt,giật
dàu,giàu
giầu,giàu
giầy,giày
h,giờ
jo,giờ
intro,giới thiệu
dống,giống
giốg,giống
dọng,giọng
dùm,giúp
giùm,giúp
gjup,giúp
gogle,google
grap,grab
hã,hả
hỏ,hả
hử,hả
huh,hả
hâh,ha ha
haha,ha ha
kaka,ha ha
muhaha,ha ha
hanoi,hà nội
haix,hài
haiz,hài
hảm,hãm
hq,hàn quốc
hág,háng
hp,hạnh phúc
hg,hậu giang
hây,hay
ahihi,hi hi
hihi,hi hi
hjhj,hi hi
kiki,hi hi
hếu,hiếu
híu,hiếu
ava,hình đại diện
avatar,hình đại diện
hnhu,hình như
hcm,hồ chí minh
sp,hỗ trợ
quài,hoài
hoag,hoang
quàng,hoàng
hs,học sinh
hsinh,học sinh
hvien,học viện
hđqt,hội đồng quản trị
hnao,hôm nào
hnay,hôm nay
hqa,hôm qua
hqua,hôm qua
htrc,hôm trước
hun,hôn
hổn,hỗn
hóg,hóng
hồg,hồng
hỏg,hỏng
hop,hợp
huhu,hu hu
adua,hùa theo
hlv,huấn luyện viên
hm,hừm
hưm,hừm
hùg,hùng
hoèn,huyền
ẻ,ỉa
ị,ỉa
ĩa,ỉa
indo,indonesia
ig,instagram
ins,instagram
insta,instagram
ie,internet explorer
ip,iphone
pod,ipod
đóm,jack
jb,justin bieber
keme,kệ mẹ
kl,kết luận
kq,kết quả
kqua,kết quả
kiu,kêu
bảnh,khá bảnh
ksạn,khách sạn
khỏag,khoảng
khok,khóc
khók,khóc
khox,khóc
hem,không
hok,không
hôk,không
hơm,không
hong,không
hông,không
honk,không
k,không
kg,không
kh,không
khg,không
khog,không
khôg,không
khum,không
ko,không
kô,không
kog,không
o,không
khốg,khống
kbh,không bao giờ
kbiet,không biết
kbt,không biết
khs,không hiểu sao
klq,không liên quan
kp,không phải
kpai,không phải
kphai,không phải
ksao,không sao
khug,khùng
khùm,khùng
khùn,khùng
km,khuyến mãi
kiag,kìa
kím,kiếm
kt,kiểm tra
ktr,kiểm tra
ktra,kiểm tra
kd,kinh doanh
ktế,kinh tế
kpop,kpop
lak,lắc
lợi,lại
lm,làm
lém,lắm
lj,làm gì
lsao,làm sao
lambor,lamborghini
ls,lạng sơn
lc,lào cai
lđ,lao động
lmcs,lật mặt cộng sản
lou,lâu
valentine,lễ tình nhân
vlt,lễ tình nhân
lyn,lên
ní,lí
lh,liên hệ
lmht,liên minh huyền thoại
lih,linh
lcl,lỗ chân lông
lổi,lỗi
l,lồn
lìn,lồn
lờ,lồn
loằn,lồn
lok,lồn
lolz,lồn
lôm,lồn
lon,lồn
lỗn,lồn
lone,lồn
loxz,lồn
loz,lồn
lôz,lồn
lừ,lồn
lùm,lồn
lx,lồn
lz,lồn
nhồn,lồn
lủ,lũ
nùi,lùi
lưg,lưng
lụm,lượm
lun,luôn
luôm,luôn
luông,luôn
nun,luôn
mak,mà
mừ,mà
muk,mà
mag,mang
mạg,mạng
mxh,mạng xã hội
mụp,mập
md,mất dạy
ml,mặt lồn
mầu,màu
m,mày
mí,mấy
camera,máy ảnh
mđ,mấy đứa
pc,máy tính cá nhân
mé,mẹ
mịa,mẹ
mie,mẹ
móa,mẹ
moẹ,mẹ
pẹ,mẹ
meow,mèo
mều,mèo
mes,mercedes
mể,mĩ
mịnh,mịn
mh,mình
mìh,mình
mik,mình
mìn,mình
mõi,mỏi
ms,mới
mn,mọi người
mng,mọi người
múi,muối
mún,muốn
nèo,nào
susan,nasus
lày,này
nài,này
nầy,này
ni,này
neh,nè
nek,nè
nò,nè
nghèn,ngàn
hen,nghe
nge,nghe
nsnd,nghệ sĩ nhân dân
nsưt,nghệ sĩ ưu tú
nghic,nghĩ
ngi,nghĩ
ngỉ,nghỉ
nvqs,nghĩa vụ quân sự
ngok,ngốc
ngốk,ngốc
ngtrinh,ngọc trinh
ngủi,ngửi
ng,người
ngừi,người
br,người anh em
homie,người anh em
mvp,người chơi giá trị nhất
ngkhac,người khác
cr,người mình thích
crush,người mình thích
webo,người nghiện truyện tranh nhật bản
wibu,người nghiện truyện tranh nhật bản
ngt,người ta
ngta,người ta
nta,người ta
ngiu,người yêu
niu,người yêu
ny,người yêu
nyc,người yêu cũ
toilet,nhà vệ sinh
tolet,nhà vệ sinh
ib,nhắn tin
ibx,nhắn tin
inb,nhắn tin
inbox,nhắn tin
nt,nhắn tin
nhứt,nhất
nkyn,nhật ký yêu nước
nhẩy,nhảy
ngen,nhé
nghen,nhé
nha,nhé
nhak,nhé
he,nhỉ
nhễ,nhỉ
nhể,nhỉ
nhõ,nhỉ
nhợ,nhỉ
nhĩm,nhiễm
nhiêng,nhiên
nhiu,nhiêu
nhìu,nhiều
nhjeu,nhiều
nhims,nhím
nhimsmvp,nhims
nhok,nhóc
gr,nhóm
group,nhóm
nthe,như thế
ntn,như thế nào
nvay,như vậy
nvậy,như vậy
nh,nhưng
nhg,nhưng
nhug,nhưng
nhưg,nhưng
boys,những chàng trai
nma,nhưng mà
homies,những người anh em
nik,nít
lọ,nọ
múp,nở nang
lói,nói
nố,nói
ns,nói
nz,nói
nỗi,nổi
nch,nói chuyện
hót,nóng
nx,nữa
lứng,nứng
nug,nứng
nl,nứng lồn
nulo,nứng lồn
nk,nước
lúp,núp
oto,ô tô
ochco,óc chó
ấu,oh
úi,ối
ei,ơi
êi,ơi
ey,ơi
êy,ơi
oi,ơi
ôi,ơi
oy,ơi
ui,ơi
ưi,ơi
ưu,ơi
ô,ông
og,ông
ôg,ông
fai,phải
pải,phải
fansixlong,phan xích long
ga,phát thưởng
fhe,phê
pép,phép
phếch,phết
fim,phim
jav,phim người lớn nhật bản
phobolsa,phố bolsa
phobolsatv,phố bolsa tv
phodiwalk,phố đi bộ
style,phong cách
pts,photoshop
fu,phu
fụ,phụ
fuho,phụ hồ
pkuong,phương
pubgm,pubg di động
qa,qua
qá,quá
qua,quá
qué,quá
quó,quá
toá,quá
wá,quá
wua,quá
wuá,quá
qtqd,quá trời quá đất
qtqđ,quá trời quá đất
qản,quản
net,quán điện tử
quanque,quần què
qt,quan tâm
qtam,quan tâm
ad,quản trị viên
ađ,quản trị viên
admin,quản trị viên
asmin,quản trị viên
qtrong,quan trọng
pr,quảng cáo
qc,quảng cáo
qcao,quảng cáo
wen,quen
quệt,quẹt
qg,quốc gia
qh,quốc hội
qtich,quốc tịch
qtịch,quốc tịch
qđ,quyết định
spam,rác
rah,rảnh
rãnh,rảnh
gờ,rờ
dồi,rồi
giồi,rồi
ồi,rồi
ời,rồi
r,rồi
roày,rồi
roi,rồi
ròi,rồi
rồy,rồi
rùi,rồi
zồi,rồi
gơi,rơi
gớt,rớt
rk,rứa
ruk,rứa
rừg,rừng
rọt,ruột
sadec,sa đéc
sgk,sách giáo khoa
sg,sài gòn
sx,sản xuất
sag,sang
sản,sảng
s,sao
xập,sập
sml,sấp mặt lồn
damage,sát thương
dame,sát thương
xẽ,sẽ
siu,siêu
super,siêu
sf,siêu giả
sly,sinh lý
sz,size
skt,skt t1
tởn,sợ
xợ,sợ
sdt,số điện thoại
sđt,số điện thoại
mtp,sơn tùng mtp
st,sơn tùng mtp
sbtc,sống bằng tình cảm
sd,sử dụng
sk,sức khỏe
sv,súc vật
xug,sung
mém,suýt
xém,suýt
tã,tả
ạc,tài khoản
nick,tài khoản
tsao,tại sao
bye,tạm biệt
tamthan,tâm thần
cua,tán
thp,tân hiệp phát
tán,táng
tăg,tăng
donate,tặng
donet,tặng
kao,tao
t,tao
tau,tao
xàm,tào lao
evn,tập toàn điện lực việt nam
tảy,tẩy
icedolce,thần tượng
ido,thần tượng
idol,thần tượng
thág,tháng
thèn,thằng
thg,thằng
thk,thằng
tz,thằng
fuckboi,thằng khốn nạn
tml,thằng mặt lồn
tp,thành phố
tphcm,thành phố hồ chí minh
auth,thật
authentic,thật
thặc,thật
thạt,thật
thẹc,thật
tkay,thầy
rứa,thế
tdn,thế đéo nào
tđn,thế đéo nào
thnao,thế nào
tnao,thế nào
ri,thế này
gam,thể thao điện tử
fl,theo dõi
thj,thì
like,thích
thic,thích
thíc,thích
thick,thích
thik,thích
thít,thích
thjx,thích
thiệc,thiệt
thíu,thiếu
ther,thơ
chọt,thọc
thâu,thôi
thgian,thôi
thoi,thôi
thôu,thôi
thoy,thôi
thui,thôi
tgian,thời gian
time,thời gian
notifi,thông báo
tb,thông báo
infor,thông tin
information,thông tin
thuốt,thuốc
thưn,thương
thuog,thương
thuơg,thương
thw,thương
xiền,tiền
xiềng,tiền
tịn,tiện
típ,tiếp
tịp,tiệp
tx,tiếp xúc
tiu,tiêu
tym,tim
sợt,tìm kiếm
tn,tin nhắn
tnhắn,tin nhắn
tíh,tính
tc,tình cảm
séc,tình dục
sếch,tình dục
sex,tình dục
ngộ,tôi
toi,tôi
toy,tôi
tớm,tóm
túm,tóm
tbt,tổng bí thư
ceo,tổng giám đốc điều hành
tls,tổng lãnh sự
gud,tốt
nai,tốt
nice,tốt
tot,tottenham
trã,trả
refund,trả lại
rf,trả lại
reply,trả lời
tsua,trà sữa
dzai,trai
tria,trai
zai,trai
td,trần dần
tdh,trần duy hưng
status,trạng thái
tus,trạng thái
trẩu,trẻ trâu
tretrau,trẻ trâu
củ,triệu
trẹo,triệu
trịu,triệu
trof,trò
joke,trò đùa
comeback,trở lại
chòi,trời
chòy,trời
tr,trời
troi,trời
xời,trời
zời,trời
chốn,trốn
trog,trong
trỏng,trong ấy
on,trực tuyến
onlai,trực tuyến
online,trực tuyến
trun,trump
trug,trung
thcs,trung học cơ sở
thpt,trung học phổ thông
tq,trung quốc
tw,trung ương
trc,trước
trk,trước
tbcn,tư bản chủ nghĩa
tutu,từ từ
tuk,tức
tứk,tức
tf,twisted fate
uk,ừ
ukm,ừ
ũa,ủa
un,ủn
voãi,vãi
vcd,vãi cả đái
vcđ,vãi cả đái
vaicalon,vãi cả lồn
vcl,vãi cả lồn
vkl,vãi cả lồn
zcl,vãi cả lồn
vc,vãi cặc
vch,vãi chưởng
vaicut,vãi cứt
vcut,vãi cứt
vđ,vãi đái
vđái,vãi đái
vailin,vãi lồn
vailon,vãi lồn
vailone,vãi lồn
vailou,vãi lồn
veler,vãi lồn
velu,vãi lồn
vl,vãi lồn
vler,vãi lồn
vlin,vãi lồn
vliz,vãi lồn
vlol,vãi lồn
vlon,vãi lồn
vlòn,vãi lồn
vlone,vãi lồn
vloz,vãi lồn
zl,vãi lồn
zăn,văn
zấn,vấn
vẩn,vẫn
vde,vấn đề
vđề,vấn đề
vđv,vận động viên
vh,văn hóa
vp,văn phòng
blabla,vân vân
dàng,vàng
zật,vật
dạ,vậy
dị,vậy
dzay,vậy
dzị,vậy
v,vậy
vại,vậy
z,vậy
zạ,vậy
zay,vậy
zầy,vậy
zạy,vậy
zậy,vậy
zị,vậy
zọ,vậy
dzìa,về
zề,về
zìa,về
vsinh,vệ sinh
dẹo,vẹo
zi,vi
virus,vi rút
virut,vi rút
vicorona,vi rút corona
vtri,vị trí
clip,video
lip,video
vd,video
vid,video
mv,video âm nhạc
trailer,video giới thiệu
vietnam,việt nam
vn,việt nam
vnam,việt nam
vnch,việt nam cộng hòa
dô,vô
dzo,vô
zo,vô
zô,vô
quơ,vơ
dzợ,vợ
vcung,vô cùng
dí,với
vs,với
zs,với
dú,vú
dzú,vú
vếu,vú
zú,vú
zụ,vụ
zừa,vừa
dui,vui
dzui,vui
zui,vui
xahoi,xã hội
xh,xã hội
xhcn,xã hội chủ nghĩa
xhcnvn,xã hội chủ nghĩa việt nam
xhcs,xã hội cộng sản
xac,xác
jombie,xác sống
zom,xác sống
zombie,xác sống
sài,xài
sàm,xàm
săm,xăm
xâm,xăm
láo,xạo
phét,xạo
sạo,xạo
xaolol,xạo lồn
xaolon,xạo lồn
xaoloz,xạo lồn
xiaolin,xạo lồn
sấu,xấu
xẩy,xảy
xp,xem phim
xemes,xemesis
hịn,xịn
sịn,xịn
sr,xin lỗi
xloi,xin lỗi
sỉu,xỉu
xĩu,xỉu
delete,xoá
xg,xong
xog,xong
xoq,xong
xklđ,xuất khẩu lao động
xuốg,xuống
yte,y tế
rip,yên nghỉ
êu,yêu
iêu,yêu
iu,yêu
yeu,yêu
yew,yêu
ysl,yếu sinh lý
yt,youtube
ytb,youtube
